timestamp,XBTUSDM,XBTUSDM-XBTMU20_arb,XBTUSDM-XBTMM20_arb
2020-05-22 00:00:00,9083.5,-72.5,-7.0
2020-05-22 00:01:00,9060.5,-79.0,-9.0
2020-05-22 00:02:00,9064.5,-80.0,-11.5
2020-05-22 00:03:00,9068.5,-78.0,-6.0
2020-05-22 00:04:00,9050.5,-84.0,-14.0
2020-05-22 00:05:00,9048.5,-84.5,-17.0
2020-05-22 00:06:00,9063.5,-82.5,-11.0
2020-05-22 00:07:00,9077.5,-81.5,-13.5
2020-05-22 00:08:00,9066.0,-82.0,-12.5
2020-05-22 00:09:00,9057.5,-86.0,-16.0
2020-05-22 00:10:00,9055.5,-88.0,-18.5
2020-05-22 00:11:00,9051.5,-81.0,-14.5
2020-05-22 00:12:00,9053.5,-81.0,-11.0
2020-05-22 00:13:00,9057.5,-81.5,-11.5
2020-05-22 00:14:00,9059.5,-77.0,-13.5
2020-05-22 00:15:00,9060.5,-77.5,-11.0
2020-05-22 00:16:00,9081.5,-85.0,-16.5
2020-05-22 00:17:00,9087.5,-88.0,-15.5
2020-05-22 00:18:00,9088.5,-84.5,-19.0
2020-05-22 00:19:00,9096.5,-85.0,-13.5
2020-05-22 00:20:00,9086.5,-85.0,-19.0
2020-05-22 00:21:00,9097.5,-85.5,-16.0
2020-05-22 00:22:00,9100.5,-88.0,-17.0
2020-05-22 00:23:00,9093.5,-86.0,-17.5
2020-05-22 00:24:00,9100.5,-91.0,-23.5
2020-05-22 00:25:00,9100.5,-91.0,-21.5
2020-05-22 00:26:00,9104.5,-86.5,-19.5
2020-05-22 00:27:00,9096.5,-84.0,-17.5
2020-05-22 00:28:00,9088.5,-89.0,-20.5
2020-05-22 00:29:00,9095.5,-88.0,-19.5
2020-05-22 00:30:00,9090.5,-87.5,-18.0
2020-05-22 00:31:00,9102.5,-87.0,-17.5
2020-05-22 00:32:00,9105.5,-87.0,-17.5
2020-05-22 00:33:00,9106.5,-87.5,-18.5
2020-05-22 00:34:00,9115.5,-84.0,-14.0
2020-05-22 00:35:00,9117.5,-83.5,-14.0
2020-05-22 00:36:00,9122.5,-82.0,-9.5
2020-05-22 00:37:00,9117.5,-83.0,-14.5
2020-05-22 00:38:00,9122.5,-83.5,-12.0
2020-05-22 00:39:00,9118.5,-80.0,-12.5
2020-05-22 00:40:00,9112.5,-87.0,-16.5
2020-05-22 00:41:00,9103.5,-85.0,-15.0
2020-05-22 00:42:00,9106.5,-84.0,-18.0
2020-05-22 00:43:00,9106.5,-84.5,-16.5
2020-05-22 00:44:00,9111.5,-87.0,-16.0
2020-05-22 00:45:00,9115.5,-82.5,-15.5
2020-05-22 00:46:00,9115.5,-81.0,-13.5
2020-05-22 00:47:00,9098.5,-81.5,-14.0
2020-05-22 00:48:00,9101.5,-84.0,-16.5
2020-05-22 00:49:00,9101.5,-83.5,-16.0
2020-05-22 00:50:00,9110.5,-84.5,-12.5
2020-05-22 00:51:00,9114.5,-80.0,-13.0
2020-05-22 00:52:00,9112.5,-82.5,-15.0
2020-05-22 00:53:00,9109.5,-84.5,-13.5
2020-05-22 00:54:00,9101.5,-81.0,-14.5
2020-05-22 00:55:00,9104.5,-79.0,-10.0
2020-05-22 00:56:00,9097.5,-83.0,-17.0
2020-05-22 00:57:00,9083.5,-79.5,-12.0
2020-05-22 00:58:00,9077.5,-78.0,-18.0
2020-05-22 00:59:00,9073.5,-78.0,-11.0
2020-05-22 01:00:00,9073.5,-83.0,-15.0
2020-05-22 01:01:00,9075.5,-80.5,-12.5
2020-05-22 01:02:00,9078.5,-81.5,-14.5
2020-05-22 01:03:00,9088.5,-81.5,-11.0
2020-05-22 01:04:00,9090.5,-82.5,-13.0
2020-05-22 01:05:00,9075.5,-79.0,-13.5
2020-05-22 01:06:00,9068.5,-83.5,-19.5
2020-05-22 01:07:00,9077.5,-83.0,-13.5
2020-05-22 01:08:00,9069.5,-84.0,-13.5
2020-05-22 01:09:00,9058.5,-83.5,-16.5
2020-05-22 01:10:00,9051.5,-84.5,-22.0
2020-05-22 01:11:00,9069.5,-83.0,-13.5
2020-05-22 01:12:00,9055.5,-82.0,-19.0
2020-05-22 01:13:00,9060.5,-83.5,-15.5
2020-05-22 01:14:00,9062.5,-84.5,-16.5
2020-05-22 01:15:00,9067.5,-82.5,-15.0
2020-05-22 01:16:00,9064.5,-84.5,-18.0
2020-05-22 01:17:00,9071.5,-86.0,-20.5
2020-05-22 01:18:00,9075.5,-86.5,-17.0
2020-05-22 01:19:00,9077.5,-83.5,-15.0
2020-05-22 01:20:00,9069.5,-86.5,-20.0
2020-05-22 01:21:00,9066.5,-88.0,-19.0
2020-05-22 01:22:00,9065.5,-88.0,-19.0
2020-05-22 01:23:00,9066.5,-84.0,-23.0
2020-05-22 01:24:00,9063.5,-85.0,-20.0
2020-05-22 01:25:00,9062.5,-86.0,-21.0
2020-05-22 01:26:00,9054.5,-85.0,-21.0
2020-05-22 01:27:00,9046.5,-87.5,-17.5
2020-05-22 01:28:00,9041.5,-90.0,-23.5
2020-05-22 01:29:00,9043.5,-90.0,-20.5
2020-05-22 01:30:00,9045.5,-89.0,-19.0
2020-05-22 01:31:00,9041.5,-91.0,-21.0
2020-05-22 01:32:00,9023.5,-89.5,-24.0
2020-05-22 01:33:00,9039.5,-90.5,-25.0
2020-05-22 01:34:00,9043.5,-92.0,-25.0
2020-05-22 01:35:00,9047.5,-92.0,-27.5
2020-05-22 01:36:00,9058.5,-96.0,-24.5
2020-05-22 01:37:00,9056.5,-92.0,-26.5
2020-05-22 01:38:00,9054.0,-92.5,-22.5
2020-05-22 01:39:00,9059.5,-94.5,-27.0
2020-05-22 01:40:00,9057.5,-94.5,-26.5
